task,window,avg,std
1,10,0.9774370245753723,0.04456404169842171
1,25,0.9784907549466619,0.046392569284972124
1,50,0.9774657165341808,0.047700557702839846
1,100,0.9736177509374142,0.05826204213956431
2,10,0.9837047341595407,0.04505232370712996
2,25,0.9842987838539079,0.042105053985830206
2,50,0.9863320017019588,0.03675283109893488
2,100,0.988684542796385,0.03433676632231947
3,10,0.9876951863613195,0.04568393663181897
3,25,0.9901226456098404,0.044796892907924865
3,50,0.9911574510664147,0.03631180841806994
3,100,0.9926950875563655,0.02628002112011556
