threshold,lookback,delay
0.25,5,47.88125
0.256,5,42.923529411764704
0.262,5,40.346820809248555
0.269,5,35.67231638418079
0.275,5,32.58888888888889
0.281,5,30.398907103825138
0.287,5,27.306451612903224
0.294,5,26.31382978723404
0.3,5,24.414893617021278
0.306,5,21.19047619047619
0.312,5,20.832460732984295
0.319,5,17.197916666666668
0.325,5,15.746113989637307
0.331,5,14.989795918367347
0.337,5,14.14795918367347
0.344,5,12.510204081632653
0.35,5,10.698979591836734
0.356,5,10.35204081632653
0.362,5,9.571428571428571
0.369,5,8.974489795918368
0.375,5,8.58673469387755
0.381,5,8.35204081632653
0.387,5,8.178571428571429
0.394,5,7.76530612244898
0.4,5,7.612244897959184
0.406,5,7.3520408163265305
0.412,5,6.8979591836734695
0.419,5,6.678571428571429
0.425,5,6.5561224489795915
0.431,5,6.4438775510204085
0.437,5,5.903061224489796
0.444,5,5.688775510204081
0.45,5,5.290816326530612
0.456,5,4.877551020408164
0.462,5,4.6479591836734695
0.469,5,4.561224489795919
0.475,5,4.336734693877551
0.481,5,4.209183673469388
0.487,5,4.137755102040816
0.494,5,4.066326530612245
0.25,10,56.14018691588785
0.256,10,56.13934426229508
0.262,10,58.67910447761194
0.269,10,55.717241379310344
0.275,10,49.705882352941174
0.281,10,44.32515337423313
0.287,10,44.279761904761905
0.294,10,39.84705882352941
0.3,10,37.00581395348837
0.306,10,36.25
0.312,10,34.02732240437158
0.319,10,32.456989247311824
0.325,10,29.8031914893617
0.331,10,26.794736842105262
0.337,10,25.638743455497384
0.344,10,23.115183246073297
0.35,10,20.458333333333332
0.356,10,21.764102564102565
0.362,10,20.61025641025641
0.369,10,18.53061224489796
0.375,10,17.23469387755102
0.381,10,15.76530612244898
0.387,10,14.96938775510204
0.394,10,14.239795918367347
0.4,10,12.698979591836734
0.406,10,12.051020408163266
0.412,10,11.540816326530612
0.419,10,11.341836734693878
0.425,10,11.01530612244898
0.431,10,10.58673469387755
0.437,10,10.173469387755102
0.444,10,9.41326530612245
0.45,10,9.178571428571429
0.456,10,8.770408163265307
0.462,10,8.387755102040817
0.469,10,8.045918367346939
0.475,10,7.76530612244898
0.481,10,7.530612244897959
0.487,10,7.3979591836734695
0.494,10,7.107142857142857
0.25,20,62.55102040816327
0.256,20,64.64179104477611
0.262,20,62.373493975903614
0.269,20,64.65625
0.275,20,66.03669724770643
0.281,20,66.921875
0.287,20,64.19117647058823
0.294,20,60.10958904109589
0.3,20,55.98692810457516
0.306,20,52.32258064516129
0.312,20,50.89506172839506
0.319,20,51.047904191616766
0.325,20,47.366863905325445
0.331,20,45.53142857142857
0.337,20,44.032967032967036
0.344,20,40.01092896174863
0.35,20,37.84864864864865
0.356,20,34.93582887700535
0.362,20,33.55555555555556
0.369,20,33.6282722513089
0.375,20,31.43455497382199
0.381,20,30.031413612565444
0.387,20,29.03125
0.394,20,29.051546391752577
0.4,20,26.47422680412371
0.406,20,23.536082474226806
0.412,20,21.88659793814433
0.419,20,21.178571428571427
0.425,20,20.29591836734694
0.431,20,19.709183673469386
0.437,20,19.142857142857142
0.444,20,18.53061224489796
0.45,20,17.93877551020408
0.456,20,17.331632653061224
0.462,20,16.857142857142858
0.469,20,16.198979591836736
0.475,20,14.857142857142858
0.481,20,14.331632653061224
0.487,20,13.862244897959183
0.494,20,13.096938775510203
0.25,40,67.0
0.256,40,76.42857142857143
0.262,40,76.25806451612904
0.269,40,72.97826086956522
0.275,40,73.26984126984127
0.281,40,73.86486486486487
0.287,40,73.28089887640449
0.294,40,79.92380952380952
0.3,40,79.16964285714286
0.306,40,79.21487603305785
0.312,40,71.81954887218045
0.319,40,72.53472222222223
0.325,40,66.31756756756756
0.331,40,64.28104575163398
0.337,40,63.867924528301884
0.344,40,63.9390243902439
0.35,40,62.023809523809526
0.356,40,61.61494252873563
0.362,40,58.408839779005525
0.369,40,54.45054945054945
0.375,40,51.14754098360656
0.381,40,48.48913043478261
0.387,40,49.18716577540107
0.394,40,46.92553191489362
0.4,40,45.25925925925926
0.406,40,44.79057591623037
0.412,40,42.333333333333336
0.419,40,39.97409326424871
0.425,40,39.24226804123711
0.431,40,38.06185567010309
0.437,40,37.04102564102564
0.444,40,35.37435897435898
0.45,40,33.64102564102564
0.456,40,31.174358974358974
0.462,40,30.183673469387756
0.469,40,29.153061224489797
0.475,40,28.096938775510203
0.481,40,26.943877551020407
0.487,40,25.98469387755102
0.494,40,24.928571428571427
