,time,confidence,avg_5_conf,avg_10_conf,avg_20_conf,avg_40_conf,real_user,predicted,user_count
0,3,0.63,,,,,17,17,16
1,4,0.81,0.63,0.63,0.63,0.63,17,17,16
2,5,0.68,0.72,0.72,0.72,0.72,17,17,16
3,6,0.75,0.7066666666666667,0.7066666666666667,0.7066666666666667,0.7066666666666667,17,17,16
4,7,0.83,0.7175,0.7175,0.7175,0.7175,17,17,16
5,8,0.9,0.74,0.74,0.74,0.74,17,17,16
6,9,0.77,0.794,0.7666666666666667,0.7666666666666667,0.7666666666666667,17,17,16
7,10,0.61,0.786,0.7671428571428572,0.7671428571428572,0.7671428571428572,17,17,16
8,11,0.58,0.772,0.7475,0.7475,0.7475,17,17,16
9,12,0.56,0.738,0.7288888888888889,0.7288888888888889,0.7288888888888889,17,17,16
10,13,0.47,0.6839999999999999,0.7120000000000001,0.7120000000000001,0.7120000000000001,17,17,16
11,14,0.81,0.5980000000000001,0.696,0.6900000000000001,0.6900000000000001,17,17,16
12,15,0.65,0.606,0.696,0.7000000000000001,0.7000000000000001,17,17,16
13,16,0.52,0.614,0.693,0.6961538461538462,0.6961538461538462,17,17,16
14,17,0.81,0.6020000000000001,0.6699999999999999,0.6835714285714286,0.6835714285714286,17,17,16
15,18,0.79,0.652,0.6679999999999999,0.6920000000000001,0.6920000000000001,17,17,16
16,19,0.44,0.716,0.6570000000000001,0.698125,0.698125,17,17,16
17,20,0.76,0.642,0.624,0.6829411764705882,0.6829411764705882,17,17,16
18,21,0.55,0.664,0.639,0.6872222222222222,0.6872222222222222,17,17,16
19,22,0.47,0.6699999999999999,0.636,0.68,0.68,17,17,16
20,23,0.86,0.602,0.627,0.6695,0.6695,17,17,16
21,24,0.76,0.6159999999999999,0.666,0.681,0.6785714285714286,17,17,16
22,25,0.76,0.68,0.661,0.6785,0.6822727272727273,17,17,16
23,26,0.55,0.6799999999999999,0.6719999999999999,0.6825,0.6856521739130435,17,17,16
24,27,0.59,0.6799999999999999,0.6749999999999999,0.6725,0.68,17,17,16
25,28,0.74,0.704,0.653,0.6605000000000001,0.6764,17,17,16
26,29,0.76,0.68,0.648,0.6525000000000001,0.6788461538461538,17,17,16
27,30,0.91,0.6799999999999999,0.68,0.652,0.6818518518518518,17,17,16
28,31,0.93,0.7100000000000001,0.6950000000000001,0.667,0.6900000000000001,17,17,16
29,32,0.84,0.786,0.733,0.6845000000000001,0.6982758620689655,17,17,16
30,33,0.91,0.8360000000000001,0.7699999999999999,0.6985,0.703,17,17,16
31,34,0.93,0.8699999999999999,0.775,0.7205,0.7096774193548387,17,17,16
32,35,0.83,0.9040000000000001,0.792,0.7265,0.7165625,17,17,16
33,36,0.79,0.8880000000000001,0.799,0.7355,0.72,17,17,16
34,37,0.95,0.8600000000000001,0.8230000000000001,0.749,0.7220588235294116,17,17,16
35,38,0.91,0.882,0.859,0.7559999999999999,0.7285714285714284,17,17,16
36,39,0.92,0.882,0.876,0.7620000000000001,0.733611111111111,17,17,16
37,40,0.98,0.8800000000000001,0.892,0.786,0.7386486486486487,17,17,16
38,41,0.87,0.9099999999999999,0.899,0.7969999999999999,0.745,17,17,16
39,42,0.72,0.9259999999999999,0.893,0.8130000000000001,0.7482051282051282,17,17,16
40,43,0.83,0.8800000000000001,0.881,0.8254999999999999,0.7475,17,17,16
41,44,0.92,0.8640000000000001,0.8729999999999999,0.8240000000000001,0.7525000000000001,17,17,16
42,45,0.59,0.8640000000000001,0.8720000000000001,0.8320000000000001,0.75525,17,17,16
43,46,0.9,0.7859999999999999,0.8480000000000001,0.8235000000000001,0.7529999999999999,17,17,16
44,47,0.89,0.7919999999999999,0.859,0.841,0.75675,17,17,16
45,48,0.88,0.826,0.8530000000000001,0.8560000000000001,0.75825,17,17,16
46,49,0.96,0.8360000000000001,0.85,0.8629999999999999,0.75775,17,17,16
47,50,0.89,0.844,0.8539999999999999,0.873,0.7625,17,17,16
48,51,0.89,0.9039999999999999,0.845,0.8720000000000001,0.7695000000000001,17,17,16
49,52,0.49,0.9019999999999999,0.8469999999999999,0.8700000000000001,0.7772500000000001,17,17,16
50,53,0.48,0.8220000000000001,0.8240000000000001,0.8525,0.7755000000000001,17,17,16
51,54,0.5,0.7420000000000001,0.789,0.8310000000000001,0.77575,17,17,16
52,55,0.56,0.65,0.7470000000000001,0.8095000000000001,0.768,17,17,16
53,56,0.54,0.584,0.744,0.796,0.76575,17,17,16
54,57,0.71,0.514,0.7080000000000001,0.7835000000000001,0.7662500000000001,17,17,16
55,58,0.39,0.558,0.6900000000000001,0.7715000000000002,0.7637500000000002,17,17,16
56,59,0.72,0.54,0.641,0.7455,0.75375,17,17,16
57,60,0.69,0.584,0.617,0.7355000000000002,0.76075,17,17,16
58,61,0.82,0.6100000000000001,0.5970000000000001,0.7210000000000001,0.759,17,17,16
59,62,0.82,0.6659999999999999,0.5900000000000001,0.7185,0.76575,17,17,16
60,63,0.74,0.688,0.623,0.7235,0.7745,17,17,16
61,64,0.82,0.758,0.649,0.719,0.7715,17,17,16
62,65,0.93,0.7779999999999998,0.681,0.7140000000000001,0.7729999999999999,17,17,16
63,66,0.55,0.826,0.718,0.731,0.77725,17,17,16
64,67,0.77,0.772,0.719,0.7135,0.77725,17,17,16
65,68,0.53,0.762,0.725,0.7074999999999999,0.78175,17,17,16
66,69,0.56,0.72,0.739,0.69,0.7765,17,17,16
67,70,0.39,0.668,0.7230000000000001,0.6699999999999999,0.7715,17,17,16
68,71,0.57,0.56,0.6930000000000001,0.645,0.7585,17,17,16
69,72,0.51,0.564,0.668,0.629,0.7494999999999999,17,17,16
70,73,0.35,0.5119999999999999,0.637,0.6300000000000001,0.74125,17,17,16
71,74,0.61,0.4760000000000001,0.598,0.6234999999999999,0.72725,17,17,16
72,75,0.62,0.48599999999999993,0.5770000000000001,0.6289999999999999,0.71925,17,17,16
73,76,0.73,0.532,0.546,0.6319999999999999,0.714,17,17,16
74,77,0.34,0.564,0.5640000000000001,0.6415,0.7125,17,16,16
75,78,0.26,0.53,0.5209999999999999,0.623,0.69725,17,18,16
76,79,0.51,0.5119999999999999,0.49399999999999994,0.6164999999999999,0.681,17,17,16
77,80,0.67,0.492,0.4889999999999999,0.606,0.67075,17,17,16
78,81,0.57,0.502,0.517,0.605,0.663,17,17,16
79,82,0.65,0.47000000000000003,0.517,0.5925,0.6555,17,17,16
80,83,0.45,0.5319999999999999,0.531,0.5840000000000001,0.6537499999999999,17,17,16
81,84,0.58,0.5700000000000001,0.541,0.5695,0.64425,17,17,16
82,85,0.79,0.5840000000000001,0.538,0.5575000000000001,0.63575,17,17,16
83,86,0.81,0.608,0.5549999999999999,0.5505000000000001,0.64075,17,17,16
84,87,0.8,0.656,0.5630000000000001,0.5635000000000001,0.6385,17,17,16
85,88,0.3,0.6859999999999999,0.6090000000000001,0.5650000000000002,0.63625,17,17,16
86,89,0.33,0.656,0.613,0.5535000000000001,0.6217499999999999,17,17,16
87,90,0.44,0.6060000000000001,0.595,0.5420000000000001,0.6060000000000001,17,17,16
88,91,0.42,0.536,0.5720000000000001,0.5445,0.59475,17,18,16
89,92,0.7,0.458,0.5570000000000002,0.537,0.583,17,17,16
90,93,0.36,0.438,0.562,0.5464999999999999,0.5882499999999999,17,17,16
91,94,0.76,0.45,0.5530000000000002,0.5469999999999999,0.58525,17,17,16
92,95,0.73,0.5359999999999999,0.571,0.5545,0.59175,17,17,16
93,96,0.62,0.5940000000000001,0.5650000000000001,0.5599999999999999,0.5960000000000001,17,17,16
94,97,0.57,0.634,0.546,0.5545,0.598,17,17,16
95,98,0.68,0.608,0.523,0.5660000000000001,0.5945,17,17,16
96,99,0.58,0.6719999999999999,0.561,0.587,0.60175,17,17,16
97,100,0.38,0.636,0.586,0.5904999999999999,0.59825,17,17,16
98,101,0.2,0.5660000000000001,0.58,0.576,0.5904999999999999,17,17,16
99,102,0.52,0.48200000000000004,0.558,0.5574999999999999,0.575,17,17,16
100,103,0.6,0.4720000000000001,0.54,0.5509999999999999,0.5675,17,17,16
101,104,0.54,0.45599999999999996,0.5639999999999998,0.5584999999999999,0.5640000000000001,17,17,16
102,105,0.74,0.44800000000000006,0.542,0.5565,0.557,17,17,16
103,106,0.2,0.5199999999999999,0.543,0.554,0.55225,17,17,16
104,107,0.58,0.5200000000000001,0.5010000000000001,0.5235000000000001,0.5435000000000001,17,17,16
105,108,0.7,0.532,0.502,0.5125,0.5387500000000001,17,17,16
106,109,0.35,0.5519999999999999,0.504,0.5325,0.5429999999999999,17,22,16
107,110,0.71,0.514,0.481,0.5334999999999999,0.53775,17,17,16
108,111,0.28,0.508,0.514,0.547,0.54575,17,17,16
109,112,0.38,0.524,0.522,0.5399999999999999,0.5385,17,17,16
110,113,0.44,0.484,0.508,0.524,0.5352499999999999,17,21,16
111,114,0.66,0.43200000000000005,0.492,0.528,0.5375,17,17,16
112,115,0.64,0.49400000000000005,0.504,0.523,0.53875,17,17,16
113,116,0.75,0.4800000000000001,0.49399999999999994,0.5185000000000001,0.53925,17,17,16
114,117,0.74,0.5740000000000001,0.5489999999999999,0.5250000000000001,0.53975,17,17,16
115,118,0.71,0.6460000000000001,0.5650000000000001,0.5335,0.54975,17,17,16
116,119,0.42,0.7,0.5660000000000001,0.5349999999999999,0.5609999999999999,17,17,16
117,120,0.38,0.6519999999999999,0.573,0.527,0.5587500000000001,17,17,16
118,121,0.49,0.6,0.5399999999999999,0.5269999999999999,0.5515,17,17,16
119,122,0.76,0.548,0.561,0.5415,0.5494999999999999,17,17,16
120,123,0.73,0.5519999999999999,0.599,0.5535,0.5522499999999999,17,17,16
121,124,0.29,0.5559999999999999,0.6279999999999999,0.56,0.5592499999999999,17,17,16
122,125,0.54,0.53,0.591,0.5475,0.552,17,17,16
123,126,0.58,0.562,0.5810000000000001,0.5375,0.54575,17,17,16
124,127,0.74,0.5800000000000001,0.564,0.5564999999999999,0.54,17,17,16
125,128,0.29,0.576,0.5640000000000001,0.5645,0.5385,17,17,16
126,129,0.67,0.4880000000000001,0.522,0.5439999999999999,0.53825,17,17,16
127,130,0.53,0.564,0.5469999999999999,0.5599999999999999,0.5467500000000001,17,17,16
128,131,0.66,0.5619999999999999,0.562,0.5509999999999999,0.549,17,17,16
129,132,0.63,0.5780000000000001,0.579,0.57,0.555,17,17,16
130,133,0.33,0.5559999999999999,0.5660000000000001,0.5825,0.55325,17,14,16
131,134,0.39,0.5640000000000001,0.526,0.5770000000000001,0.5525,17,17,16
132,135,0.58,0.508,0.536,0.5635000000000001,0.54325,17,17,16
133,136,0.59,0.518,0.5399999999999999,0.5605000000000001,0.5395000000000001,17,17,16
134,137,0.6,0.504,0.541,0.5525,0.5387500000000001,17,17,16
135,138,0.57,0.49799999999999994,0.5269999999999999,0.5455,0.5395,17,17,16
136,139,0.75,0.546,0.5549999999999999,0.5385,0.53675,17,17,16
137,140,0.79,0.618,0.5630000000000001,0.5549999999999999,0.541,17,17,16
138,141,0.6,0.6599999999999999,0.589,0.5755000000000001,0.55125,17,17,16
139,142,0.75,0.662,0.583,0.581,0.56125,17,17,16
140,143,0.9,0.692,0.595,0.5805,0.567,17,17,16
141,144,0.62,0.758,0.652,0.5890000000000001,0.5745,17,17,16
142,145,0.24,0.732,0.675,0.6054999999999999,0.5765,17,17,16
143,146,0.72,0.6220000000000001,0.641,0.5904999999999999,0.5640000000000001,17,17,16
144,147,0.3,0.6459999999999999,0.654,0.5975,0.577,17,17,16
145,148,0.54,0.5559999999999999,0.6239999999999999,0.5755,0.5700000000000001,17,17,16
146,149,0.81,0.484,0.621,0.5880000000000001,0.5660000000000001,17,17,16
147,150,0.37,0.522,0.627,0.595,0.5775,17,17,16
148,151,0.49,0.548,0.5850000000000001,0.5870000000000001,0.569,17,17,16
149,152,0.58,0.502,0.5740000000000001,0.5784999999999999,0.5742499999999999,17,17,16
150,153,0.79,0.558,0.557,0.576,0.57925,17,17,16
151,154,0.58,0.608,0.546,0.599,0.588,17,17,16
152,155,0.55,0.562,0.542,0.6085,0.586,17,17,16
153,156,0.65,0.5980000000000001,0.573,0.6070000000000001,0.58375,17,17,16
154,157,0.79,0.63,0.5660000000000001,0.61,0.58125,17,17,16
155,158,0.66,0.672,0.615,0.6195,0.5825,17,17,16
156,159,0.51,0.646,0.627,0.624,0.58125,17,17,16
157,160,0.77,0.632,0.597,0.612,0.5835000000000001,17,17,16
158,161,0.63,0.676,0.6369999999999999,0.611,0.59325,17,17,16
159,162,0.84,0.672,0.6509999999999999,0.6125,0.59675,17,17,16
