sensor,task,record_count
fsr_03,1,3160382
fsr_04,1,3178084
pir_01,1,942
pir_02,1,28
accel01_x,1,3374683
accel01_y,1,3374684
accel01_z,1,3374682
gyro01_x,1,3374682
gyro01_y,1,3374683
gyro01_z,1,3374687
pir_03,1,214
pir_04,1,30
pir_05,1,160
pir_06,1,230
hall_z_01,1,46
hall_z_04,1,4
hall_z_03,1,6
hall_y_01,1,4
hall_z_02,1,4
hall_x_01,1,4
fsr_02,1,3153999
fsr_01,1,3165037
cpuusage_01,1,10495
cpuusage_02,1,10494
cpuusage_03,1,10492
cpuusage_04,1,10491
mempercentage_01,1,10863
netpacketssent_01,1,10684
netpacketsreceived_01,1,10682
fsr_03,2,3992958
fsr_04,2,4007275
pir_01,2,961
pir_02,2,0
accel01_x,2,4274869
accel01_y,2,4274868
accel01_z,2,4274867
gyro01_x,2,4274868
gyro01_y,2,4274870
gyro01_z,2,4274868
pir_03,2,185
pir_04,2,18
pir_05,2,155
pir_06,2,186
hall_z_01,2,66
hall_z_04,2,0
hall_z_03,2,0
hall_y_01,2,0
hall_z_02,2,0
hall_x_01,2,0
fsr_02,2,4012002
fsr_01,2,3997340
cpuusage_01,2,15409
cpuusage_02,2,15407
cpuusage_03,2,15407
cpuusage_04,2,15405
mempercentage_01,2,16024
netpacketssent_01,2,15740
netpacketsreceived_01,2,15738
fsr_03,3,3894350
fsr_04,3,3918798
pir_01,3,1195
pir_02,3,0
accel01_x,3,4147686
accel01_y,3,4147688
accel01_z,3,4147686
gyro01_x,3,4147687
gyro01_y,3,4147689
gyro01_z,3,4147689
pir_03,3,500
pir_04,3,198
pir_05,3,310
pir_06,3,625
hall_z_01,3,165
hall_z_04,3,78
hall_z_03,3,120
hall_y_01,3,79
hall_z_02,3,65
hall_x_01,3,80
fsr_02,3,3921450
fsr_01,3,3907898
cpuusage_01,3,11763
cpuusage_02,3,11763
cpuusage_03,3,11762
cpuusage_04,3,11760
mempercentage_01,3,12334
netpacketssent_01,3,12073
netpacketsreceived_01,3,12071
