threshold,lookback,frr
0.25,5,0.00033996559515962917
0.256,5,0.0004587555410638729
0.262,5,0.0006512746430024765
0.269,5,0.0007700645889067204
0.275,5,0.00111496738507542
0.281,5,0.0013953810328376274
0.287,5,0.0016747341674763206
0.294,5,0.0020752453349945376
0.3,5,0.0021692799238937823
0.306,5,0.002828433306315781
0.312,5,0.0034678560864737193
0.319,5,0.003723080987013341
0.325,5,0.004619299169910777
0.331,5,0.00532513350478663
0.337,5,0.006233803481427689
0.344,5,0.007306088285077055
0.35,5,0.008783922699239662
0.356,5,0.01147802675176895
0.362,5,0.013456218786210694
0.369,5,0.015984606552794323
0.375,5,0.018350887191619966
0.381,5,0.021176437904071494
0.387,5,0.0239865904994991
0.394,5,0.026396958353820995
0.4,5,0.02986658317546646
0.406,5,0.03527860577281879
0.412,5,0.03960184733174879
0.419,5,0.043698633654982125
0.425,5,0.04866863524376954
0.431,5,0.05337026546499978
0.437,5,0.059517669045157824
0.444,5,0.06544291694281079
0.45,5,0.07166422749093107
0.456,5,0.08081669058563262
0.462,5,0.08860261432587477
0.469,5,0.09657861961977525
0.475,5,0.10494213295478787
0.481,5,0.1130806738812008
0.487,5,0.12293752466341146
0.494,5,0.1333335263195678
0.25,10,0.0002428644775182379
0.256,10,0.0002428644775182379
0.262,10,0.0003837493562937291
0.269,10,0.0003837493562937291
0.275,10,0.0004188839216791552
0.281,10,0.0005618367880794032
0.287,10,0.0005618367880794032
0.294,10,0.0006468755639961881
0.3,10,0.0006468755639961881
0.306,10,0.0008314809075467324
0.312,10,0.0009942690954179952
0.319,10,0.0011013918527684283
0.325,10,0.0016061988670890077
0.331,10,0.0018290450416015385
0.337,10,0.0021060830958675903
0.344,10,0.0024937746553873206
0.35,10,0.0030113049007195964
0.356,10,0.003650075090108669
0.362,10,0.004515264932730185
0.369,10,0.005492548461177202
0.375,10,0.006666003115132912
0.381,10,0.008520349177355127
0.387,10,0.00973987793697724
0.394,10,0.011316306762257517
0.4,10,0.013030257033055015
0.406,10,0.015288483123180024
0.412,10,0.017592049171360386
0.419,10,0.020273226015859475
0.425,10,0.023137266989866408
0.431,10,0.027172525222407474
0.437,10,0.03154134204509001
0.444,10,0.0362216144008581
0.45,10,0.04136324272099287
0.456,10,0.04710687034431954
0.462,10,0.053378516979270346
0.469,10,0.059635235653677135
0.475,10,0.06712605062538456
0.481,10,0.07730442139192521
0.487,10,0.08617826425664513
0.494,10,0.09675148522961677
0.25,20,0.0002428644775182379
0.256,20,0.0002428644775182379
0.262,20,0.0003837493562937291
0.269,20,0.0003837493562937291
0.275,20,0.0004188839216791552
0.281,20,0.0005618367880794032
0.287,20,0.0005618367880794032
0.294,20,0.0006468755639961881
0.3,20,0.0006468755639961881
0.306,20,0.0008314809075467324
0.312,20,0.0009601603567591509
0.319,20,0.0009601603567591509
0.325,20,0.0011630390733997993
0.331,20,0.0011995460827455935
0.337,20,0.0011995460827455935
0.344,20,0.0015446274680038384
0.35,20,0.0018104500276900242
0.356,20,0.002169735982755199
0.362,20,0.0025658457620703116
0.369,20,0.0031391715945121457
0.375,20,0.0035144754300549977
0.381,20,0.0041332416464401715
0.387,20,0.004610161642849918
0.394,20,0.005301421669755387
0.4,20,0.006401975656414602
0.406,20,0.007497822514623198
0.412,20,0.008530760735783755
0.419,20,0.00964611995499089
0.425,20,0.010804023643703243
0.431,20,0.012775718030268933
0.437,20,0.014355485694670737
0.444,20,0.01697278629801274
0.45,20,0.019652288551288883
0.456,20,0.023447400550569455
0.462,20,0.02740575667808993
0.469,20,0.0316586640161536
0.475,20,0.03641339615748778
0.481,20,0.043191289188975864
0.487,20,0.04962624956932791
0.494,20,0.05770541042733267
0.25,40,0.0002428644775182379
0.256,40,0.0002428644775182379
0.262,40,0.0003837493562937291
0.269,40,0.0003837493562937291
0.275,40,0.0004188839216791552
0.281,40,0.0005618367880794032
0.287,40,0.0005618367880794032
0.294,40,0.0006468755639961881
0.3,40,0.0006468755639961881
0.306,40,0.0008314809075467324
0.312,40,0.0009601603567591509
0.319,40,0.0009601603567591509
0.325,40,0.0011630390733997993
0.331,40,0.0011995460827455935
0.337,40,0.0011995460827455935
0.344,40,0.001273255645101571
0.35,40,0.0013469652074575484
0.356,40,0.0014500512064284116
0.362,40,0.001693262301180436
0.369,40,0.0018045046996087895
0.375,40,0.0020235139890941874
0.381,40,0.0022371987542037035
0.387,40,0.002395871270930264
0.394,40,0.002732688397620291
0.4,40,0.002879025467737845
0.406,40,0.003419711127045248
0.412,40,0.004101516450065873
0.419,40,0.0049209302825748555
0.425,40,0.006013043619448644
0.431,40,0.007147792218320777
0.437,40,0.00798221334640229
0.444,40,0.009323864181428946
0.45,40,0.010350007239536588
0.456,40,0.011756040517022365
0.462,40,0.013262625205176296
0.469,40,0.014980624130398084
0.475,40,0.017938639061960953
0.481,40,0.021759350624192434
0.487,40,0.02542383351156421
0.494,40,0.030634880015320404
