task,model,accuracy
1,MajorityClassifier,0.08888888888888889
1,KNearestNeighbors,0.2069444444444445
1,SupportVectorMachine,0.09305555555555556
1,LinearDiscriminantAnalysis,0.3597222222222222
1,AdaBoost,0.5611111111111111
1,GradientBoosting,0.5513888888888889
1,RandomForest,0.674074074074074
2,MajorityClassifier,0.1155143338954469
2,KNearestNeighbors,0.2580101180438449
2,SupportVectorMachine,0.1897133220910624
2,LinearDiscriminantAnalysis,0.4536256323777403
2,AdaBoost,0.5328836424957841
2,GradientBoosting,0.37324339516582333
2,RandomForest,0.4867903316469927
3,MajorityClassifier,0.05569620253164557
3,KNearestNeighbors,0.2759493670886076
3,SupportVectorMachine,0.05569620253164557
3,LinearDiscriminantAnalysis,0.6063291139240506
3,AdaBoost,0.6421940928270042
3,GradientBoosting,0.4506329113924051
3,RandomForest,0.6156118143459915
