approach,model,task,segment_interval,number_of_users,accuracy,confidence,user_accuracies,user_confidences,feature_frequency,epochs
PerSeanceApproach,LinearDiscriminantAnalysis,1,1,3,0.631277584949792,0.587814043419025,"{7: 0, 8: 1.0, 10: 0.8074935400516796, 11: 0.9726775956284153, 13: 0, 14: 0.5393566050650239, 16: 0.9965635738831615, 17: 0, 18: 0.8686868686868686, 20: 0.4847908745247148, 21: 0.4832904884318766, 22: 0.45721583652618136, 23: 0.9107806691449815, 24: 0.8361774744027304, 25: 0.5963149078726969, 26: 0.10011001100110012, 27: 0}","{7: 0, 8: 0.9999999999999994, 10: 0.7506445311402508, 11: 0.7912956040018306, 13: 0, 14: 0.5623348762706747, 16: 0.9271168971745172, 17: 0, 18: 0.8338881456860859, 20: 0.4468676580918274, 21: 0.41790632539880157, 22: 0.45300177834245253, 23: 0.753040131625819, 24: 0.6167068938099924, 25: 0.5627350677774036, 26: 0.1296620383451258, 27: 0}","{'gx_me': 0.5555555555555556, 'fc_me': 1.0, 'ay_me': 0.7777777777777778, 'fb_me': 1.0, 'fa_me': 0.8888888888888888, 'fd_me': 0.8888888888888888, 'm_me': 0.8888888888888888, 'm_min': 0.8888888888888888, 'm_max': 0.8888888888888888, 'ax_me': 0.7777777777777778, 'nr_me': 0.1111111111111111, 'fa_sd': 0.1111111111111111, 'gz_me': 0.5555555555555556, 'fd_bin_3': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fd_bin_2': 0.1111111111111111, 'fa_mcr': 0.1111111111111111}",9
PerSeanceApproach,RandomForest,1,1,3,0.790431285477587,0.691612652975161,"{7: 0, 8: 1.0, 10: 0.9844961240310077, 11: 0.9972677595628415, 13: 0, 14: 0.9260780287474333, 16: 0.9982817869415808, 17: 0, 18: 0.8962350780532599, 20: 0.5570342205323193, 21: 0.21079691516709512, 22: 0.5108556832694764, 23: 0.9925650557620818, 24: 0.6143344709897611, 25: 0.949748743718593, 26: 0.8151815181518152, 27: 0}","{7: 0, 8: 0.8919129241474385, 10: 0.8366494934463684, 11: 0.9724087597977671, 13: 0, 14: 0.6458903450287751, 16: 0.9659102559841122, 17: 0, 18: 0.664511755450826, 20: 0.5265209054451568, 21: 0.30562871838220873, 22: 0.5014430423236889, 23: 0.9259262812002125, 24: 0.5786567924111412, 25: 0.8046551321724061, 26: 0.7285724337766727, 27: 0}","{'gx_me': 0.5555555555555556, 'fc_me': 1.0, 'ay_me': 0.7777777777777778, 'fb_me': 1.0, 'fa_me': 0.8888888888888888, 'fd_me': 0.8888888888888888, 'm_me': 0.8888888888888888, 'm_min': 0.8888888888888888, 'm_max': 0.8888888888888888, 'ax_me': 0.7777777777777778, 'nr_me': 0.1111111111111111, 'fa_sd': 0.1111111111111111, 'gz_me': 0.5555555555555556, 'fd_bin_3': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fd_bin_2': 0.1111111111111111, 'fa_mcr': 0.1111111111111111}",9
PerSeanceApproach,AdaBoost,1,1,3,0.763078086489373,0.770548929659923,"{7: 0, 8: 1.0, 10: 0.9780361757105943, 11: 1.0, 13: 0, 14: 0.8028747433264888, 16: 0.9965635738831615, 17: 0, 18: 0.7281910009182736, 20: 0.5171102661596958, 21: 0.20694087403598974, 22: 0.6053639846743295, 23: 0.9925650557620818, 24: 0.6382252559726962, 25: 0.9522613065326633, 26: 0.8811881188118811, 27: 0}","{7: 0, 8: 0.9999586889061816, 10: 0.9670381837070723, 11: 0.9999290074750942, 13: 0, 14: 0.7830283553498019, 16: 0.994787603303229, 17: 0, 18: 0.7283439986437962, 20: 0.51306165618513, 21: 0.20985103064269614, 22: 0.5968588217458924, 23: 0.9922951826641847, 24: 0.6401973758739372, 25: 0.9466900274761256, 26: 0.8794000961918087, 27: 0}","{'gx_me': 0.5555555555555556, 'fc_me': 1.0, 'ay_me': 0.7777777777777778, 'fb_me': 1.0, 'fa_me': 0.8888888888888888, 'fd_me': 0.8888888888888888, 'm_me': 0.8888888888888888, 'm_min': 0.8888888888888888, 'm_max': 0.8888888888888888, 'ax_me': 0.7777777777777778, 'nr_me': 0.1111111111111111, 'fa_sd': 0.1111111111111111, 'gz_me': 0.5555555555555556, 'fd_bin_3': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fd_bin_2': 0.1111111111111111, 'fa_mcr': 0.1111111111111111}",9
PerSeanceApproach,GradientBoosting,1,1,3,0.741510778498973,0.73682952510544,"{7: 0, 8: 0.9812206572769953, 10: 0.9599483204134367, 11: 0.9972677595628415, 13: 0, 14: 0.6290212183436003, 16: 0.9965635738831615, 17: 0, 18: 0.7603305785123967, 20: 0.6596958174904943, 21: 0.17352185089974292, 22: 0.5683269476372925, 23: 0.9851301115241635, 24: 0.6416382252559727, 25: 0.932998324958124, 26: 0.8613861386138614, 27: 0}","{7: 0, 8: 0.8678681614012883, 10: 0.9490506737748395, 11: 0.9972472078440779, 13: 0, 14: 0.6242900203328569, 16: 0.993256482629524, 17: 0, 18: 0.7081875367029493, 20: 0.6218158651906929, 21: 0.18626613960008198, 22: 0.5274094562384227, 23: 0.9809071610227114, 24: 0.6343388911082803, 25: 0.9233391625932935, 26: 0.8545263021592223, 27: 0}","{'gx_me': 0.5555555555555556, 'fc_me': 1.0, 'ay_me': 0.7777777777777778, 'fb_me': 1.0, 'fa_me': 0.8888888888888888, 'fd_me': 0.8888888888888888, 'm_me': 0.8888888888888888, 'm_min': 0.8888888888888888, 'm_max': 0.8888888888888888, 'ax_me': 0.7777777777777778, 'nr_me': 0.1111111111111111, 'fa_sd': 0.1111111111111111, 'gz_me': 0.5555555555555556, 'fd_bin_3': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fd_bin_2': 0.1111111111111111, 'fa_mcr': 0.1111111111111111}",9
PerSeanceApproach,LinearDiscriminantAnalysis,2,1,3,0.722219207419048,0.726601189553817,"{7: 1.0, 8: 0.9916107382550335, 9: 0.8151658767772512, 10: 0.004285714285714286, 11: 0.9697916666666666, 13: 0.0022701475595913734, 14: 1.0, 15: 0.9264550264550264, 16: 1.0, 17: 0, 18: 0.9844179651695693, 19: 0, 20: 0, 21: 0.5157142857142857, 22: 0, 23: 0.6510903426791277, 24: 0.9480874316939891, 25: 0.9316596931659693, 26: 0.7871559633027523, 27: 0.7372262773722628}","{7: 0.9999998547125396, 8: 0.9699526370837045, 9: 0.7814575281911037, 10: 0.004285709762959883, 11: 0.9717783309206961, 13: 0.002403181800079088, 14: 0.9999999992749337, 15: 0.9218833801607436, 16: 1.0, 17: 0, 18: 0.9844179651695693, 19: 0, 20: 0, 21: 0.5157950716158356, 22: 0, 23: 0.662591079270213, 24: 0.9356928927133292, 25: 0.8632618616477529, 26: 0.780973095017479, 27: 0.7413930805363731}","{'fc_me': 0.7777777777777778, 'ay_me': 0.6666666666666666, 'ns_me': 0.2222222222222222, 'm_me': 0.7777777777777778, 'm_max': 0.7777777777777778, 'm_min': 0.7777777777777778, 'nr_me': 0.6666666666666666, 'fd_me': 0.7777777777777778, 'ax_me': 0.8888888888888888, 'gz_me': 0.7777777777777778, 'fd_bin_4': 0.1111111111111111, 'fd_bin_6': 0.1111111111111111, 'fd_mcr': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fb_me': 0.4444444444444444, 'fa_mcr': 0.2222222222222222, 'fa_sd': 0.1111111111111111, 'fa_bin_5': 0.2222222222222222, 'fa_bin_1': 0.2222222222222222, 'fa_me': 0.5555555555555556, 'a_me': 0.2222222222222222, 'gx_me': 0.2222222222222222}",9
PerSeanceApproach,RandomForest,2,1,3,0.795787034630379,0.729644745628728,"{7: 0.997624703087886, 8: 1.0, 9: 0.12796208530805686, 10: 0.004285714285714286, 11: 0.9989583333333334, 13: 0.3076049943246311, 14: 1.0, 15: 0.9275132275132275, 16: 1.0, 17: 0, 18: 0.995417048579285, 19: 0, 20: 0, 21: 0.8271428571428572, 22: 0, 23: 0.8021806853582554, 24: 0.7991803278688525, 25: 0.99721059972106, 26: 0.8678899082568807, 27: 0.9939172749391727}","{7: 0.8786791248192076, 8: 0.7656987740540593, 9: 0.1741867696303109, 10: 0.03003791516387837, 11: 0.9703044605165017, 13: 0.30557859303608925, 14: 0.9199075060363404, 15: 0.9319085847233926, 16: 0.9487228866999036, 17: 0, 18: 0.9785151961313261, 19: 0, 20: 0, 21: 0.6480332125463821, 22: 0, 23: 0.7882798963245088, 24: 0.7143134764850216, 25: 0.9153927465480397, 26: 0.7589791370756925, 27: 0.9019526667966253}","{'fc_me': 0.7777777777777778, 'ay_me': 0.6666666666666666, 'ns_me': 0.2222222222222222, 'm_me': 0.7777777777777778, 'm_max': 0.7777777777777778, 'm_min': 0.7777777777777778, 'nr_me': 0.6666666666666666, 'fd_me': 0.7777777777777778, 'ax_me': 0.8888888888888888, 'gz_me': 0.7777777777777778, 'fd_bin_4': 0.1111111111111111, 'fd_bin_6': 0.1111111111111111, 'fd_mcr': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fb_me': 0.4444444444444444, 'fa_mcr': 0.2222222222222222, 'fa_sd': 0.1111111111111111, 'fa_bin_5': 0.2222222222222222, 'fa_bin_1': 0.2222222222222222, 'fa_me': 0.5555555555555556, 'a_me': 0.2222222222222222, 'gx_me': 0.2222222222222222}",9
PerSeanceApproach,AdaBoost,2,1,3,0.798575921598252,0.790217660859129,"{7: 0.9881235154394299, 8: 1.0, 9: 0.11374407582938388, 10: 0.004285714285714286, 11: 1.0, 13: 0.35981838819523265, 14: 1.0, 15: 0.9968253968253968, 16: 1.0, 17: 0, 18: 0.9935838680109991, 19: 0, 20: 0, 21: 0.7085714285714286, 22: 0, 23: 0.9657320872274143, 24: 0.6762295081967213, 25: 0.99721059972106, 26: 0.8917431192660551, 27: 0.9927007299270073}","{7: 0.9831334524323418, 8: 0.9997187256061278, 9: 0.11208424698572035, 10: 0.004356871924921208, 11: 0.9999409091650309, 13: 0.3672817886983163, 14: 0.9999889214763001, 15: 0.996083215947141, 16: 0.9999998227246107, 17: 0, 18: 0.9934707913083175, 19: 0, 20: 0, 21: 0.6920501776861173, 22: 0, 23: 0.9602482727657173, 24: 0.6780620084920064, 25: 0.9945542539238358, 26: 0.8892614261225779, 27: 0.9892551913429284}","{'fc_me': 0.7777777777777778, 'ay_me': 0.6666666666666666, 'ns_me': 0.2222222222222222, 'm_me': 0.7777777777777778, 'm_max': 0.7777777777777778, 'm_min': 0.7777777777777778, 'nr_me': 0.6666666666666666, 'fd_me': 0.7777777777777778, 'ax_me': 0.8888888888888888, 'gz_me': 0.7777777777777778, 'fd_bin_4': 0.1111111111111111, 'fd_bin_6': 0.1111111111111111, 'fd_mcr': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fb_me': 0.4444444444444444, 'fa_mcr': 0.2222222222222222, 'fa_sd': 0.1111111111111111, 'fa_bin_5': 0.2222222222222222, 'fa_bin_1': 0.2222222222222222, 'fa_me': 0.5555555555555556, 'a_me': 0.2222222222222222, 'gx_me': 0.2222222222222222}",9
PerSeanceApproach,GradientBoosting,2,1,3,0.794024682502234,0.787636841607196,"{7: 0.9881235154394299, 8: 1.0, 9: 0.12796208530805686, 10: 0.004285714285714286, 11: 0.9989583333333334, 13: 0.20771850170261066, 14: 1.0, 15: 0.9957671957671959, 16: 1.0, 17: 0, 18: 0.995417048579285, 19: 0, 20: 0, 21: 0.9714285714285714, 22: 0, 23: 0.8348909657320872, 24: 0.6120218579234973, 25: 0.99302649930265, 26: 0.8275229357798165, 27: 0.9841849148418491}","{7: 0.9896052527174095, 8: 0.9964055922949203, 9: 0.1229540763584483, 10: 0.10549906916105616, 11: 0.9980015373905482, 13: 0.19683987383934357, 14: 0.99972915926158, 15: 0.9865489997989856, 16: 0.9996922542895725, 17: 0, 18: 0.9917968514096402, 19: 0, 20: 0, 21: 0.9542808004937611, 22: 0, 23: 0.8119917360986411, 24: 0.679244643408917, 25: 0.9726550001079112, 26: 0.8175004911485096, 27: 0.9830202354592031}","{'fc_me': 0.7777777777777778, 'ay_me': 0.6666666666666666, 'ns_me': 0.2222222222222222, 'm_me': 0.7777777777777778, 'm_max': 0.7777777777777778, 'm_min': 0.7777777777777778, 'nr_me': 0.6666666666666666, 'fd_me': 0.7777777777777778, 'ax_me': 0.8888888888888888, 'gz_me': 0.7777777777777778, 'fd_bin_4': 0.1111111111111111, 'fd_bin_6': 0.1111111111111111, 'fd_mcr': 0.1111111111111111, 'fd_bin_1': 0.1111111111111111, 'fd_bin_mean': 0.1111111111111111, 'fd_sd': 0.1111111111111111, 'fb_me': 0.4444444444444444, 'fa_mcr': 0.2222222222222222, 'fa_sd': 0.1111111111111111, 'fa_bin_5': 0.2222222222222222, 'fa_bin_1': 0.2222222222222222, 'fa_me': 0.5555555555555556, 'a_me': 0.2222222222222222, 'gx_me': 0.2222222222222222}",9
PerSeanceApproach,LinearDiscriminantAnalysis,3,1,3,0.85727396853871,0.853293617274876,"{7: 0.8571428571428572, 8: 0.1783625730994152, 9: 0.87890625, 10: 0, 11: 0.9882434301521439, 13: 0.9887892376681614, 15: 0.9942196531791907, 16: 1.0, 17: 0, 18: 0.991044776119403, 19: 1.0, 21: 0.9921568627450981, 22: 1.0, 23: 0.5603448275862069, 24: 0, 25: 0.5, 26: 0.9810606060606061, 27: 1.0}","{7: 0.8509241046904431, 8: 0.17584878407378426, 9: 0.8321615347117204, 10: 0, 11: 0.9879551268551395, 13: 0.9889723625652095, 15: 0.9803464176809688, 16: 1.0, 17: 0, 18: 0.991044776119403, 19: 1.0, 21: 0.9921568627450981, 22: 1.0, 23: 0.5990369941633737, 24: 0, 25: 0.5628463580076035, 26: 0.9810606064171542, 27: 1.0}","{'ay_sd': 0.125, 'g_me': 0.25, 'gz_me': 0.75, 'ay_mcr': 0.125, 'fd_me': 0.875, 'fc_me': 1.0, 'gx_me': 0.375, 'fa_me': 0.625, 'ay_me': 0.5, 'ax_me': 0.875, 'nr_me': 0.625, 'ns_me': 0.375, 'fb_me': 0.75, 'm_min': 0.5, 'm_max': 0.5, 'm_me': 0.5, 'a_me': 0.25, 'fd_sd': 0.375, 'ax_mcr': 0.125, 'fd_bin_std': 0.125, 'fd_bin_max': 0.125, 'fd_bin_0': 0.125, 'fd_bin_mean': 0.125}",8
PerSeanceApproach,RandomForest,3,1,3,0.933150068221527,0.823211039827179,"{7: 0.9577922077922078, 8: 0.7119883040935673, 9: 0.859375, 10: 0, 11: 0.9979253112033195, 13: 0.5874439461883408, 15: 1.0, 16: 1.0, 17: 0, 18: 0.991044776119403, 19: 0.9984276729559749, 21: 1.0, 22: 0.7896678966789668, 23: 0.9942528735632183, 24: 0, 25: 0.9802631578947368, 26: 0.9924242424242424, 27: 1.0}","{7: 0.8582115340975909, 8: 0.6293152254354821, 9: 0.6651324275373924, 10: 0, 11: 0.9368213160835998, 13: 0.49151284011406254, 15: 0.918768448803387, 16: 0.9700657487024557, 17: 0, 18: 0.8656827855084384, 19: 0.8688424318083573, 21: 0.8309584231175531, 22: 0.7364094561550979, 23: 0.7123321412782618, 24: 0, 25: 0.8404477949486027, 26: 0.9608935517447438, 27: 0.9912610794677065}","{'ay_sd': 0.125, 'g_me': 0.25, 'gz_me': 0.75, 'ay_mcr': 0.125, 'fd_me': 0.875, 'fc_me': 1.0, 'gx_me': 0.375, 'fa_me': 0.625, 'ay_me': 0.5, 'ax_me': 0.875, 'nr_me': 0.625, 'ns_me': 0.375, 'fb_me': 0.75, 'm_min': 0.5, 'm_max': 0.5, 'm_me': 0.5, 'a_me': 0.25, 'fd_sd': 0.375, 'ax_mcr': 0.125, 'fd_bin_std': 0.125, 'fd_bin_max': 0.125, 'fd_bin_0': 0.125, 'fd_bin_mean': 0.125}",8
